epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1311.03,0.44562,0.30325,0.94594,0.97851,0.97913,0.98129,0.91081,0.44019,0.33464,0.77784,0.000403335,0.000403335,0.000403335
60,1333.3,0.41328,0.2847,0.94288,0.97901,0.97915,0.97916,0.90944,0.46495,0.3484,0.79011,0.000385651,0.000385651,0.000385651
61,1354.09,0.44013,0.30227,0.95206,0.9706,0.98814,0.97614,0.89655,0.47888,0.3353,0.79406,0.000367967,0.000367967,0.000367967
62,1376.41,0.42846,0.29247,0.94526,0.97747,0.97955,0.978,0.91306,0.43872,0.33354,0.77743,0.000350284,0.000350284,0.000350284
63,1396.84,0.41703,0.27617,0.93274,0.9726,0.97932,0.98146,0.91206,0.44319,0.33839,0.77811,0.0003326,0.0003326,0.0003326
64,1416.59,0.4128,0.28181,0.91648,0.97909,0.97928,0.98714,0.91813,0.43761,0.32873,0.78021,0.000314916,0.000314916,0.000314916
65,1438.86,0.4019,0.28332,0.93515,0.97824,0.97924,0.987,0.92282,0.43609,0.33163,0.78031,0.000297232,0.000297232,0.000297232
66,1461.89,0.39861,0.26857,0.92097,0.97755,0.97918,0.98089,0.91102,0.46082,0.34553,0.7928,0.000279548,0.000279548,0.000279548
67,1483.81,0.4413,0.3043,0.9522,0.97918,0.97915,0.98856,0.9163,0.43753,0.33807,0.78167,0.000261864,0.000261864,0.000261864
68,1506.24,0.40193,0.27081,0.92922,0.97944,0.97922,0.98902,0.92919,0.43151,0.34913,0.78604,0.00024418,0.00024418,0.00024418
69,1528.54,0.41127,0.27623,0.92033,0.97855,0.97941,0.98402,0.92002,0.43771,0.3332,0.7858,0.000226497,0.000226497,0.000226497
70,1550.55,0.39921,0.27083,0.92873,0.97642,0.97987,0.97922,0.91378,0.43793,0.3301,0.78064,0.000208813,0.000208813,0.000208813
71,1576.83,0.4434,0.28178,0.89135,0.97223,0.98823,0.98465,0.92108,0.42492,0.32266,0.76821,0.000191129,0.000191129,0.000191129
72,1599.03,0.42799,0.26033,0.87339,0.97701,0.98869,0.98671,0.92418,0.40711,0.31764,0.76039,0.000173445,0.000173445,0.000173445
73,1621.01,0.42584,0.26808,0.86915,0.97765,0.98873,0.98334,0.9236,0.41223,0.30799,0.7862,0.000155761,0.000155761,0.000155761
74,1642.05,0.42531,0.27707,0.8725,0.97829,0.98919,0.97966,0.92141,0.41728,0.31988,0.78103,0.000138077,0.000138077,0.000138077
75,1661.78,0.39387,0.26358,0.86633,0.97327,0.9883,0.98089,0.91891,0.41762,0.33223,0.77371,0.000120393,0.000120393,0.000120393
76,1682.9,0.39674,0.26369,0.87868,0.97091,0.98817,0.98121,0.92462,0.40661,0.32302,0.77119,0.000102709,0.000102709,0.000102709
77,1704.14,0.37802,0.25572,0.86864,0.97882,0.97948,0.98576,0.92636,0.40238,0.31856,0.77027,8.50255e-05,8.50255e-05,8.50255e-05
78,1724.27,0.37683,0.24701,0.86498,0.97883,0.9794,0.98294,0.92933,0.39431,0.32031,0.76688,6.73416e-05,6.73416e-05,6.73416e-05
79,1747.42,0.37382,0.24396,0.8571,0.97892,0.97941,0.98327,0.93375,0.39673,0.31561,0.76508,4.96578e-05,4.96578e-05,4.96578e-05
80,1770.01,0.37,0.24033,0.86985,0.97912,0.97943,0.98421,0.93462,0.39622,0.31332,0.76791,3.19739e-05,3.19739e-05,3.19739e-05
